tanggal,komoditas,level,no_urut,harga_rp,provinsi,diambil_pada_utc
2026-08-19,Beras Kualitas Medium I,2,2,13600.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Beras Kualitas Medium I,2,2,13600.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Beras Kualitas Medium I,2,2,13600.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Beras Kualitas Medium I,2,2,13600.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Beras Kualitas Medium I,2,2,13850.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Beras Kualitas Medium I,2,2,13850.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Beras Kualitas Medium I,2,2,13850.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Beras Kualitas Medium I,2,2,13850.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Beras Kualitas Super I,2,3,15950.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Beras Kualitas Super I,2,3,15950.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Beras Kualitas Super I,2,3,15950.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Beras Kualitas Super I,2,3,15950.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Beras Kualitas Super I,2,3,15950.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Beras Kualitas Super I,2,3,15950.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Beras Kualitas Super I,2,3,15950.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Beras Kualitas Super I,2,3,15950.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Beras Kualitas Super I,2,3,15950.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Beras Kualitas Super I,2,3,15950.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Daging Ayam,1,II,23650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Daging Ayam,1,II,23650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Daging Ayam,1,II,23650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Daging Ayam,1,II,23650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Daging Ayam,1,II,23650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Daging Ayam,1,II,23650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Daging Ayam,1,II,28350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Daging Ayam,1,II,28350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Daging Ayam,1,II,28350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Daging Ayam,1,II,28350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Daging Ayam Ras Segar,2,1,23650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Daging Ayam Ras Segar,2,1,23650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Daging Ayam Ras Segar,2,1,23650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Daging Ayam Ras Segar,2,1,23650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Daging Ayam Ras Segar,2,1,23650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Daging Ayam Ras Segar,2,1,23650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Daging Ayam Ras Segar,2,1,28350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Daging Ayam Ras Segar,2,1,28350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Daging Ayam Ras Segar,2,1,28350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Daging Ayam Ras Segar,2,1,28350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Daging Sapi,1,III,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Daging Sapi,1,III,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Daging Sapi,1,III,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Daging Sapi,1,III,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Daging Sapi,1,III,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Daging Sapi,1,III,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Daging Sapi,1,III,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Daging Sapi,1,III,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Daging Sapi,1,III,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Daging Sapi,1,III,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Daging Sapi Kualitas 1,2,1,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Daging Sapi Kualitas 1,2,1,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Daging Sapi Kualitas 1,2,1,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Daging Sapi Kualitas 1,2,1,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Daging Sapi Kualitas 1,2,1,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Daging Sapi Kualitas 1,2,1,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Daging Sapi Kualitas 1,2,1,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Daging Sapi Kualitas 1,2,1,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Daging Sapi Kualitas 1,2,1,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Daging Sapi Kualitas 1,2,1,140000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Telur Ayam,1,IV,23000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Telur Ayam,1,IV,23000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Telur Ayam,1,IV,23000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Telur Ayam,1,IV,23000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Telur Ayam,1,IV,23000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Telur Ayam,1,IV,23000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Telur Ayam,1,IV,19750.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Telur Ayam,1,IV,19750.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Telur Ayam,1,IV,19750.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Telur Ayam,1,IV,19750.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Telur Ayam Ras Segar,2,1,23000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Telur Ayam Ras Segar,2,1,23000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Telur Ayam Ras Segar,2,1,23000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Telur Ayam Ras Segar,2,1,23000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Telur Ayam Ras Segar,2,1,23000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Telur Ayam Ras Segar,2,1,23000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Telur Ayam Ras Segar,2,1,19750.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Telur Ayam Ras Segar,2,1,19750.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Telur Ayam Ras Segar,2,1,19750.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Telur Ayam Ras Segar,2,1,19750.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Bawang Merah,1,V,28650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Bawang Merah,1,V,28650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Bawang Merah,1,V,28650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Bawang Merah,1,V,28650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Bawang Merah,1,V,28650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Bawang Merah,1,V,28650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Bawang Merah,1,V,24650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Bawang Merah,1,V,24650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Bawang Merah,1,V,24650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Bawang Merah,1,V,24650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Bawang Merah Ukuran Sedang,2,1,28650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Bawang Merah Ukuran Sedang,2,1,28650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Bawang Merah Ukuran Sedang,2,1,28650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Bawang Merah Ukuran Sedang,2,1,28650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Bawang Merah Ukuran Sedang,2,1,28650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Bawang Merah Ukuran Sedang,2,1,28650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Bawang Merah Ukuran Sedang,2,1,24650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Bawang Merah Ukuran Sedang,2,1,24650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Bawang Merah Ukuran Sedang,2,1,24650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Bawang Merah Ukuran Sedang,2,1,24650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Cabai Merah,1,VI,25850.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Cabai Merah,1,VI,25850.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Cabai Merah,1,VI,25850.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Cabai Merah,1,VI,25850.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Cabai Merah,1,VI,25850.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Cabai Merah,1,VI,25850.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Cabai Merah,1,VI,23150.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Cabai Merah,1,VI,23150.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Cabai Merah,1,VI,23150.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Cabai Merah,1,VI,23150.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Cabai Merah Besar,2,1,31650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Cabai Merah Besar,2,1,31650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Cabai Merah Besar,2,1,31650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Cabai Merah Besar,2,1,31650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Cabai Merah Besar,2,1,31650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Cabai Merah Besar,2,1,31650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Cabai Merah Besar,2,1,29650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Cabai Merah Besar,2,1,29650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Cabai Merah Besar,2,1,29650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Cabai Merah Besar,2,1,29650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Cabai Merah Keriting ,2,2,20000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Cabai Merah Keriting ,2,2,20000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Cabai Merah Keriting ,2,2,20000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Cabai Merah Keriting ,2,2,20000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Cabai Merah Keriting ,2,2,20000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Cabai Merah Keriting ,2,2,20000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Cabai Merah Keriting ,2,2,16650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Cabai Merah Keriting ,2,2,16650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Cabai Merah Keriting ,2,2,16650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Cabai Merah Keriting ,2,2,16650.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Cabai Rawit,1,VII,31250.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Cabai Rawit,1,VII,31250.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Cabai Rawit,1,VII,31250.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Cabai Rawit,1,VII,31250.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Cabai Rawit,1,VII,31250.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Cabai Rawit,1,VII,31250.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Cabai Rawit,1,VII,34700.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Cabai Rawit,1,VII,34700.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Cabai Rawit,1,VII,34700.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Cabai Rawit,1,VII,34700.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Cabai Rawit Hijau,2,1,33150.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Cabai Rawit Hijau,2,1,33150.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Cabai Rawit Hijau,2,1,33150.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Cabai Rawit Hijau,2,1,33150.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Cabai Rawit Hijau,2,1,33150.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Cabai Rawit Hijau,2,1,33150.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Cabai Rawit Hijau,2,1,34350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Cabai Rawit Hijau,2,1,34350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Cabai Rawit Hijau,2,1,34350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Cabai Rawit Hijau,2,1,34350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Cabai Rawit Merah,2,2,29350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Cabai Rawit Merah,2,2,29350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Cabai Rawit Merah,2,2,29350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Cabai Rawit Merah,2,2,29350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Cabai Rawit Merah,2,2,29350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Cabai Rawit Merah,2,2,29350.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Cabai Rawit Merah,2,2,35000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Cabai Rawit Merah,2,2,35000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Cabai Rawit Merah,2,2,35000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Cabai Rawit Merah,2,2,35000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Gula Pasir,1,VIII,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Gula Pasir,1,VIII,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Gula Pasir,1,VIII,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Gula Pasir,1,VIII,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Gula Pasir,1,VIII,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Gula Pasir,1,VIII,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Gula Pasir,1,VIII,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Gula Pasir,1,VIII,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Gula Pasir,1,VIII,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Gula Pasir,1,VIII,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-17,Gula Pasir Kualitas Premium,2,1,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-18,Gula Pasir Kualitas Premium,2,1,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-19,Gula Pasir Kualitas Premium,2,1,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-20,Gula Pasir Kualitas Premium,2,1,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-21,Gula Pasir Kualitas Premium,2,1,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-24,Gula Pasir Kualitas Premium,2,1,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-25,Gula Pasir Kualitas Premium,2,1,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-26,Gula Pasir Kualitas Premium,2,1,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-27,Gula Pasir Kualitas Premium,2,1,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
2026-08-28,Gula Pasir Kualitas Premium,2,1,16000.0,DI Yogyakarta,2026-08-30T10:03:35.195323+00:00
